标题,详情页url,图片url,类型,关键字,星级,作者
"🥟,小学生寒假作业：关于饺子的主题研究",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E5%B0%8F%E5%AD%A6%E7%94%9F%E5%AF%92%E5%81%87%E4%BD%9C%E4%B8%9A%E5%85%B3%E4%BA%8E%E9%A5%BA%E5%AD%90%E7%9A%84%E4%B8%BB%E9%A2%98%E7%A0%94%E7%A9%B6,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Ff10addde-68c8-4605-bf81-a70f9063ca63%2FUntitled.jpeg&w=3840&q=80,主题研究,主题学习,★★★★☆,howie.serious
"🏀,Quiz maker 生成测试题",https://gpt.candobear.com//prompt/prompt-1001gptgpt/quiz-maker-%E7%94%9F%E6%88%90%E6%B5%8B%E8%AF%95%E9%A2%98,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F8c343a5a-b546-4663-afa2-d5ad70d7d86a%2FUntitled.jpeg&w=3840&q=80,通用学习类,"主题学习,VISA,知识内化",★★★★☆,howie.serious
"🇬🇧,翻译练习",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E7%BF%BB%E8%AF%91%E7%BB%83%E4%B9%A0,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F3cbe03eb-4fc3-4123-8ea7-3f7bf6c1b79c%2FUntitled.jpeg&w=3840&q=80,语言学习类,"英语,练习,翻译",★★★☆☆,howie.serious
解读一本书，得到式说书,https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E8%A7%A3%E8%AF%BB%E4%B8%80%E6%9C%AC%E4%B9%A6%E5%BE%97%E5%88%B0%E5%BC%8F%E8%AF%B4%E4%B9%A6,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F7013dcca-a1d6-47f3-8cac-e4839bce024e%2FUntitled.jpeg&w=3840&q=80,阅读增强类,读书,★★★☆☆,howie.serious
critical writing 批判性思维写作练习,https://gpt.candobear.com//prompt/prompt-1001gptgpt/critical-writing-et,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F9e6e9370-64f8-4d20-a2cb-12290686dde9%2FUntitled.jpeg&w=3840&q=80,写作类,"英语,写作,批判性思维",★★★☆☆,howie.serious
Parse unstructured data 非结构化数据解析为结构化数据：表格，JSON等,https://gpt.candobear.com//prompt/prompt-1001gptgpt/parse-unstructured-data-json,-,数据处理类,数据处理,★★★★☆,-
"📊,Spreadsheet creator 生成excel表",https://gpt.candobear.com//prompt/prompt-1001gptgpt/spreadsheet-creator-excel,-,数据处理类,数据处理,★★★☆☆,howie.serious
"🧲,提取信息 extract information from text",https://gpt.candobear.com//prompt/prompt-1001gptgpt/extract-information-from-text,-,数据处理类,数据处理,★★★☆☆,-
"📥,分类 Classification ",https://gpt.candobear.com//prompt/prompt-1001gptgpt/classification,-,数据处理类,数据处理,★★★☆☆,-
"📝,Notes to summary 笔记转总结报告",https://gpt.candobear.com//prompt/prompt-1001gptgpt/notes-to-summary,-,文字处理类,"会议纪要,报告",★★★☆☆,howie.serious
"🧑‍💼,Interview questions 面试",https://gpt.candobear.com//prompt/prompt-1001gptgpt/interview-questions,-,文字处理类,职场,★★☆☆☆,-
